raceId,driverId,stop,seconds,driverRef,forename,nationality,position,clase_pos
1106,4,2,47.959,alonso,Fernando,Spanish,3.0,1
1106,815,2,46.499,perez,Sergio,Mexican,2.0,1
1106,830,2,47.554,max_verstappen,Max,Dutch,1.0,1
1106,832,1,24.133,sainz,Carlos,Spanish,5.0,0
1106,839,2,48.1,ocon,Esteban,French,9.0,0
1106,840,2,47.55,stroll,Lance,Canadian,8.0,0
1106,842,2,51.632,gasly,Pierre,French,10.0,0
1106,844,1,24.343,leclerc,Charles,Monegasque,7.0,0
1106,847,1,88.943,russell,George,British,6.0,0
1107,1,3,66.132,hamilton,Lewis,British,4.0,0
1107,4,3,60.964,alonso,Fernando,Spanish,3.0,1
1107,815,3,60.35,perez,Sergio,Mexican,2.0,1
1107,830,4,80.703,max_verstappen,Max,Dutch,1.0,1
1107,832,3,71.246,sainz,Carlos,Spanish,5.0,0
1107,839,3,70.598,ocon,Esteban,French,9.0,0
1107,840,4,84.865,stroll,Lance,Canadian,8.0,0
1107,844,3,61.288,leclerc,Charles,Monegasque,6.0,0
1107,846,3,61.454,norris,Lando,British,10.0,0
1107,847,3,61.91,russell,George,British,7.0,0
1108,1,1,29.169,hamilton,Lewis,British,4.0,0
1108,4,1,28.679,alonso,Fernando,Spanish,3.0,1
1108,815,1,28.06,perez,Sergio,Mexican,2.0,1
1108,830,1,29.056,max_verstappen,Max,Dutch,1.0,1
1108,832,1,28.869,sainz,Carlos,Spanish,5.0,0
1108,840,1,28.561,stroll,Lance,Canadian,8.0,0
1108,844,2,57.049,leclerc,Charles,Monegasque,7.0,0
1108,846,1,28.438,norris,Lando,British,9.0,0
1108,847,1,29.455,russell,George,British,6.0,0
1109,1,2,43.702,hamilton,Lewis,British,4.0,0
1109,4,2,47.068,alonso,Fernando,Spanish,3.0,1
1109,815,2,42.742,perez,Sergio,Mexican,2.0,1
1109,830,2,43.087,max_verstappen,Max,Dutch,1.0,1
1109,832,2,43.453,sainz,Carlos,Spanish,6.0,0
1109,840,2,44.313,stroll,Lance,Canadian,9.0,0
1109,844,2,49.856,leclerc,Charles,Monegasque,7.0,0
1109,846,2,42.971,norris,Lando,British,8.0,0
1109,847,2,43.561,russell,George,British,5.0,0
1110,1,3,69.269,hamilton,Lewis,British,4.0,0
1110,4,2,46.883,alonso,Fernando,Spanish,3.0,1
1110,815,2,46.394,perez,Sergio,Mexican,2.0,1
1110,830,2,45.899,max_verstappen,Max,Dutch,1.0,1
1110,832,1,23.303,sainz,Carlos,Spanish,7.0,0
1110,839,2,46.424,ocon,Esteban,French,10.0,0
1110,840,1,25.397,stroll,Lance,Canadian,9.0,0
1110,844,2,46.372,leclerc,Charles,Monegasque,5.0,0
1110,846,2,48.756,norris,Lando,British,8.0,0
1110,847,1,23.837,russell,George,British,6.0,0
1111,1,5,2511.45,hamilton,Lewis,British,4.0,0
1111,4,5,2541.86,alonso,Fernando,Spanish,3.0,1
1111,815,6,2585.715,perez,Sergio,Mexican,2.0,1
1111,830,6,2581.587,max_verstappen,Max,Dutch,1.0,1
1111,832,5,2522.867,sainz,Carlos,Spanish,5.0,0
1111,840,6,2512.086,stroll,Lance,Canadian,9.0,0
1111,842,5,2536.977,gasly,Pierre,French,10.0,0
1111,844,2,59.888,leclerc,Charles,Monegasque,6.0,0
1111,846,6,2566.798,norris,Lando,British,8.0,0
1111,847,6,2571.071,russell,George,British,7.0,0
1112,1,1,24.255,hamilton,Lewis,British,4.0,0
1112,4,1,24.798,alonso,Fernando,Spanish,3.0,1
1112,815,1,23.819,perez,Sergio,Mexican,2.0,1
1112,830,1,24.228,max_verstappen,Max,Dutch,1.0,1
1112,832,1,25.183,sainz,Carlos,Spanish,5.0,0
1112,840,1,25.667,stroll,Lance,Canadian,9.0,0
1112,842,2,52.062,gasly,Pierre,French,10.0,0
1112,844,1,23.931,leclerc,Charles,Monegasque,6.0,0
1112,846,1,23.727,norris,Lando,British,8.0,0
1112,847,1,24.215,russell,George,British,7.0,0
1113,1,2,66.212,hamilton,Lewis,British,3.0,1
1113,4,2,83.378,alonso,Fernando,Spanish,4.0,0
1113,815,1,28.977,perez,Sergio,Mexican,2.0,1
1113,830,1,29.698,max_verstappen,Max,Dutch,1.0,1
1113,832,1,29.499,sainz,Carlos,Spanish,5.0,0
1113,842,1,31.802,gasly,Pierre,French,10.0,0
1113,844,1,32.888,leclerc,Charles,Monegasque,6.0,0
1113,846,1,29.485,norris,Lando,British,8.0,0
1113,847,2,60.015,russell,George,British,7.0,0
1114,1,2,48.472,hamilton,Lewis,British,3.0,1
1114,4,2,48.38,alonso,Fernando,Spanish,4.0,0
1114,815,4,2590.513,perez,Sergio,Mexican,2.0,1
1114,830,2,48.078,max_verstappen,Max,Dutch,1.0,1
1114,832,2,46.449,sainz,Carlos,Spanish,5.0,0
1114,840,1,23.441,stroll,Lance,Canadian,10.0,0
1114,844,2,46.123,leclerc,Charles,Monegasque,6.0,0
1114,846,2,46.705,norris,Lando,British,7.0,0
1114,847,1,24.034,russell,George,British,8.0,0
1114,857,2,47.653,piastri,Oscar,Australian,9.0,0
1115,4,3,85.198,alonso,Fernando,Spanish,4.0,0
1115,815,3,94.219,perez,Sergio,Mexican,2.0,1
1115,830,3,86.062,max_verstappen,Max,Dutch,1.0,1
1115,840,3,86.441,stroll,Lance,Canadian,10.0,0
1115,844,3,83.614,leclerc,Charles,Monegasque,6.0,0
1115,846,3,83.422,norris,Lando,British,7.0,0
1115,847,4,124.733,russell,George,British,8.0,0
1115,857,3,84.232,piastri,Oscar,Australian,9.0,0
1116,1,2,49.564,hamilton,Lewis,British,3.0,1
1116,4,2,49.878,alonso,Fernando,Spanish,4.0,0
1116,815,2,47.992,perez,Sergio,Mexican,2.0,1
1116,830,2,48.73,max_verstappen,Max,Dutch,1.0,1
1116,832,2,47.341,sainz,Carlos,Spanish,5.0,0
1116,842,2,48.78,gasly,Pierre,French,10.0,0
